Source|Timestamp|MsgId|PingId|CheName|EventType|Action|JobCount|FromPosition|ToPosition|TimeTaken_ms
AIL|2026-05-27T14:26:36.261Z|-3698175||R101|WaListUpdated||1|||
BMS|2026-05-27T14:26:47.729Z|20260527172642602|-3698175||WaListUpdatedResponse|||||11468
BMS|2026-05-27T14:26:47.754Z|2248070001||R101|OpStateUpdated|DISENGAGED||||
AIL|2026-05-27T14:26:48.752Z|2248070001|2248070001|R101|OpStateUpdatedResponse|||||998
AIL|2026-05-27T14:26:48.853Z|2248070001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:26:53.432Z|20260527172651593|2248070001||WaListUpdatedResponse|||||4579
BMS|2026-05-27T14:28:09.777Z|2248890001||R101|OpStateUpdated|ENGAGED||||
AIL|2026-05-27T14:28:12.928Z|2248890001|2248890001|R101|OpStateUpdatedResponse|||||3151
AIL|2026-05-27T14:28:13.030Z|2248890001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:28:15.479Z|20260527172814187|2248890001||WaListUpdatedResponse|||||2449
AIL|2026-05-27T14:33:13.951Z|-3700962||R101|WaListUpdated||1|||
BMS|2026-05-27T14:33:26.576Z|20260527173318542|-3700962||WaListUpdatedResponse|||||12625
AIL|2026-05-27T14:33:35.953Z|-3701122||R101|WaListUpdated||1|||
BMS|2026-05-27T14:33:41.366Z|20260527173340465|-3701122||WaListUpdatedResponse|||||5413
AIL|2026-05-27T14:34:00.577Z|-3701296||R101|WaListUpdated||1|||
BMS|2026-05-27T14:34:11.655Z|20260527173411647|-3701296||WaListUpdatedResponse|||||11078
AIL|2026-05-27T14:34:12.944Z|-3701375||R101|WaListUpdated||1|||
BMS|2026-05-27T14:34:23.960Z|20260527173415702|-3701375||WaListUpdatedResponse|||||11016
AIL|2026-05-27T14:34:32.014Z|565166||R101|WaListUpdated||1|||
BMS|2026-05-27T14:34:37.686Z|2252770001||R101|WaAccepted|||||
AIL|2026-05-27T14:34:38.404Z|2252770001|2252770001|R101|WaAcceptedResponse|||||718
AIL|2026-05-27T14:34:38.505Z|2252770001||R101|WaCreated|||Location: 11H38C.2|TruckSlot: 136(2)|
BMS|2026-05-27T14:34:40.085Z|20260527173439621|565166||WaListUpdatedResponse|||||8071
BMS|2026-05-27T14:34:48.119Z|20260527173447631|2252770001|R101|WaCreatedResponse|||||9614
AIL|2026-05-27T14:38:36.256Z|565348||R101|WaCancelled|||||
AIL|2026-05-27T14:38:36.357Z|565348||R101|WaListUpdated||1|||
BMS|2026-05-27T14:38:36.959Z|20260527173836440|565348||WaCancelledResponse|||||602
BMS|2026-05-27T14:38:45.393Z|20260527173837222|565348||WaListUpdatedResponse|||||9036
BMS|2026-05-27T14:38:59.586Z|2255390001||R101|WaAccepted|||||
AIL|2026-05-27T14:39:00.275Z|2255390001|2255390001|R101|WaAcceptedResponse|||||689
AIL|2026-05-27T14:39:00.376Z|2255390001||R101|WaCreated|||Location: 11H38C.1|TruckSlot: 255(2)|
BMS|2026-05-27T14:39:02.734Z|20260527173902001|2255390001|R101|WaCreatedResponse|||||2358
AIL|2026-05-27T14:41:04.575Z|565491||R101|WaCancelled|||||
AIL|2026-05-27T14:41:04.677Z|565491||R101|WaListUpdated||1|||
BMS|2026-05-27T14:41:05.174Z|20260527174104924|565491||WaCancelledResponse|||||497
BMS|2026-05-27T14:41:20.770Z|20260527174119296|565491||WaListUpdatedResponse|||||16093
BMS|2026-05-27T14:41:45.117Z|2257050001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H39|
AIL|2026-05-27T14:41:46.145Z|2257050001|2257050001|R101|CheActivityResponse|||||1028
AIL|2026-05-27T14:41:46.246Z|2257050001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:41:46.915Z|20260527174146316|2257050001||WaListUpdatedResponse|||||669
BMS|2026-05-27T14:41:49.777Z|2257090001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H41|
AIL|2026-05-27T14:41:50.802Z|2257090001|2257090001|R101|CheActivityResponse|||||1025
AIL|2026-05-27T14:41:50.904Z|2257090001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:41:54.423Z|2257140001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H42|
BMS|2026-05-27T14:41:54.675Z|20260527174152705|2257090001||WaListUpdatedResponse|||||3771
AIL|2026-05-27T14:41:55.465Z|2257140001|2257140001|R101|CheActivityResponse|||||1042
AIL|2026-05-27T14:41:55.567Z|2257140001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:41:56.112Z|2257160001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H45|
BMS|2026-05-27T14:41:56.344Z|20260527174155798|2257140001||WaListUpdatedResponse|||||777
AIL|2026-05-27T14:41:57.146Z|2257160001|2257160001|R101|CheActivityResponse|||||1034
AIL|2026-05-27T14:41:57.247Z|2257160001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:41:59.650Z|20260527174159191|2257160001||WaListUpdatedResponse|||||2403
BMS|2026-05-27T14:42:00.798Z|2257200001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H47|
AIL|2026-05-27T14:42:01.810Z|2257200001|2257200001|R101|CheActivityResponse|||||1012
AIL|2026-05-27T14:42:01.910Z|2257200001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:42:06.485Z|20260527174203236|2257200001||WaListUpdatedResponse|||||4575
BMS|2026-05-27T14:42:14.864Z|2257340001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H50|
BMS|2026-05-27T14:42:15.301Z|2257350001||R101|CheDriveActivity|ARRIVED_AT_LOCATION|||YardSection: 11H54|
AIL|2026-05-27T14:42:15.868Z|2257340001|2257340001|R101|CheActivityResponse|||||1004
AIL|2026-05-27T14:42:15.970Z|2257340001||R101|WaListUpdated||1|||
AIL|2026-05-27T14:42:16.372Z|2257350001|2257350001|R101|CheActivityResponse|||||1071
AIL|2026-05-27T14:42:16.474Z|2257350001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:42:17.853Z|20260527174217623|2257340001||WaListUpdatedResponse|||||1883
BMS|2026-05-27T14:42:17.867Z|20260527174217703|2257350001||WaListUpdatedResponse|||||1393
BMS|2026-05-27T14:42:24.432Z|2257440001||R101|OpStateUpdated|DISENGAGED||||
AIL|2026-05-27T14:42:25.113Z|2257440001|2257440001|R101|OpStateUpdatedResponse|||||681
AIL|2026-05-27T14:42:25.214Z|2257440001||R101|WaListUpdated||1|||
BMS|2026-05-27T14:42:31.587Z|20260527174228546|2257440001||WaListUpdatedResponse|||||6373
BMS|2026-05-27T14:42:42.526Z|2257620001||R101|OpStateUpdated|ENGAGED||||
